season,round,date,name,venue,heat,phase,gate,rider,points,position,rank
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,7,main,,Artiom Łaguta,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,7,main,,Krzysztof Kasprzak,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,7,main,,Matej Žagar,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,7,main,,Martin Vaculik,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,8,main,,Bartosz Zmarzlik,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,8,main,,Anders Thomsen,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,8,main,,Jason Doyle,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,8,main,,Petr Chlupáč,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,8,main,,Leon Madsen,,t,5
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,9,main,,Jason Doyle,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,9,main,,Jan Kvěch,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,9,main,,Robert Lambert,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,9,main,,Krzysztof Kasprzak,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,10,main,,Bartosz Zmarzlik,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,10,main,,Fredrik Lindgren,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,10,main,,Max Fricke,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,10,main,,Matej Žagar,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,11,main,,Leon Madsen,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,11,main,,Martin Vaculik,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,11,main,,Tai Woffinden,1,3,3
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,11,main,,Oliver Berntzon,0,4,4
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,12,main,,Anders Thomsen,3,1,1
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,12,main,,Emil Sajfutdinow,2,2,2
2021,2,2021-07-18,II. runda FIM Speedway Grand Prix w Pradze,Pradze,12,main,,Artiom Łaguta,1,3,3
